#%create_date=Mon Jun  6 12:31:01 2016 PDT
#%chip_type=HuEx-1_0-st-v2
#%lib_set_name=HuEx-1_0-st
#%lib_set_version=v2
#%genome-species=Homo sapiens
#%genome-version=hg19
#%genome-version-ucsc=hg19
#%genome-version-ncbi=GRCh37
#%genome-version-create_date=2009-02-00
#%genome-lifted-method=liftOver
#%genome-lifted_from-species=Homo sapiens
#%genome-lifted_from-version-ucsc=hg16
#%genome-lifted_from-version-ncbi=34
#%netaffx-annotation-date=2016-03-15
#%netaffx-annotation-netaffx-build=36
#%netaffx-annotation-data-type=probe_set
#%netaffx-annotation-docgen-method=module:affy/annotation_update/builder; exec:create-download-file.pl
#%netaffx-annotation-docgen-version=8487
#%netaffx-annotation-url-probeset=www.affymetrix.com/analysis/netaffx/exon/probe_set.affx?pk=
#%netaffx-annotation-url-exon=www.affymetrix.com/analysis/netaffx/exon/exon.affx?pk=
#%netaffx-annotation-url-transcript=www.affymetrix.com/analysis/netaffx/exon/transcript.affx?pk=
#%netaffx-annotation-url-mrna=www.affymetrix.com/analysis/netaffx/exon/rna.affx?pk=
"probeset_id","seqname","strand","start","stop","probe_count","transcript_cluster_id","exon_id","psr_id","gene_assignment","mrna_assignment","crosshyb_type","number_independent_probes","number_cross_hyb_probes","number_nonoverlapping_probes","level","bounded","noBoundedEvidence","has_cds","fl","mrna","est","vegaGene","vegaPseudoGene","ensGene","sgpGene","exoniphy","twinscan","geneid","genscan","genscanSubopt","mouse_fl","mouse_mrna","rat_fl","rat_mrna","microRNAregistry","rnaGene","mitomap","probeset_type"
"2315101","chr1","+","11925","12167","4","2315100","1","1","NR_046018 // DDX11L1 /// OTTHUMT00000362751 // DDX11L1 /// uc001aaa.3 // DDX11L1 /// uc010nxq.1 // DDX11L1 /// uc010nxr.1 // DDX11L1","NR_046018 // --- // 100 // 4 // 4 // 0 /// OTTHUMT00000362751 // --- // 100 // 4 // 4 // 0 /// uc001aaa.3 // --- // 100 // 4 // 4 // 0 /// uc010nxq.1 // --- // 100 // 4 // 4 // 0 /// uc010nxr.1 // --- // 100 // 4 // 4 // 0 /// XM_006726321 // --- // 100 // 4 // 4 // 0 /// XM_011543805 // --- // 100 // 4 // 4 // 0 /// XM_011543806 // --- // 100 // 3 // 3 // 0 /// XM_011543807 // --- // 100 // 3 // 3 // 0 /// XM_011543808 // --- // 100 // 3 // 3 // 0 /// XM_011543809 // --- // 100 // 4 // 4 // 0 /// ENST00000624431 // --- // 100 // 4 // 4 // 0 /// ENST00000456328 // --- // 100 // 4 // 4 // 0 /// NONHSAT000001 // --- // 100 // 4 // 4 // 0 /// NONHSAT000002 // --- // 100 // 4 // 4 // 0 /// NONHSAT000003 // --- // 100 // 4 // 4 // 0 /// NR_024004 // --- // 75 // 3 // 4 // 1 /// NR_024005 // --- // 100 // 4 // 4 // 1 /// NR_034090 // --- // 100 // 4 // 4 // 1 /// NR_045117 // --- // 100 // 4 // 4 // 1 /// NR_051985 // --- // 100 // 4 // 4 // 1 /// NR_051986 // --- // 100 // 4 // 4 // 1 /// NR_110561 // --- // 100 // 4 // 4 // 1 /// AK093685 // --- // 75 // 3 // 4 // 1 /// OTTHUMT00000417614 // --- // 100 // 4 // 4 // 1 /// OTTHUMT00000417615 // --- // 100 // 4 // 4 // 1 /// OTTHUMT00000420565 // --- // 100 // 4 // 4 // 1 /// uc002cds.2 // --- // 100 // 4 // 4 // 1 /// uc010bqm.2 // --- // 100 // 4 // 4 // 1 /// uc010utv.1 // --- // 100 // 4 // 4 // 1 /// uc010utw.1 // --- // 100 // 4 // 4 // 1 /// uc011llp.1 // --- // 100 // 4 // 4 // 1 /// ENST00000513886 // --- // 100 // 4 // 4 // 1 /// ENST00000559159 // --- // 100 // 4 // 4 // 1 /// ENST00000562189 // --- // 100 // 4 // 4 // 1 /// AK125998 // --- // 100 // 4 // 4 // 1 /// NONHSAT051714 // --- // 100 // 4 // 4 // 1 /// NONHSAT051715 // --- // 100 // 4 // 4 // 1 /// NONHSAT051716 // --- // 100 // 4 // 4 // 1 /// NONHSAT051719 // --- // 100 // 4 // 4 // 1 /// NONHSAT051720 // --- // 100 // 4 // 4 // 1 /// NONHSAT051721 // --- // 100 // 4 // 4 // 1 /// NONHSAT073809 // --- // 75 // 3 // 4 // 1 /// NONHSAT073810 // --- // 100 // 4 // 4 // 1 /// NONHSAT073811 // --- // 100 // 4 // 4 // 1 /// NONHSAT129876 // --- // 100 // 4 // 4 // 1 /// NONHSAT129877 // --- // 100 // 4 // 4 // 1 /// NONHSAT139258 // --- // 100 // 4 // 4 // 1 /// TCONS_l2_00010384-XLOC_l2_005087 // --- // 100 // 4 // 4 // 1 /// TCONS_l2_00010385-XLOC_l2_005087 // --- // 100 // 4 // 4 // 1 /// TCONS_l2_00028588-XLOC_l2_014685 // --- // 100 // 4 // 4 // 1 /// TCONS_l2_00030643-XLOC_l2_015857 // --- // 75 // 3 // 4 // 1 /// TCONS_l2_00030644-XLOC_l2_015857 // --- // 75 // 3 // 4 // 1 /// uc010yxx.1 // --- // 100 // 4 // 4 // 1 /// uc011nad.1 // --- // 100 // 4 // 4 // 1 /// uc011ncc.1 // --- // 100 // 4 // 4 // 1","2","4","4","3","extended","0","0","0","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","main"
"2315102","chr1","+","12657","12692","4","2315100","2","2","NR_046018 // DDX11L1 /// OTTHUMT00000002844 // DDX11L1 /// OTTHUMT00000362751 // DDX11L1 /// uc001aaa.3 // DDX11L1 /// uc010nxq.1 // DDX11L1 /// uc010nxr.1 // DDX11L1","NR_046018 // --- // 100 // 4 // 4 // 0 /// OTTHUMT00000002844 // --- // 100 // 4 // 4 // 0 /// OTTHUMT00000362751 // --- // 100 // 4 // 4 // 0 /// uc001aaa.3 // --- // 100 // 4 // 4 // 0 /// uc010nxq.1 // --- // 100 // 4 // 4 // 0 /// uc010nxr.1 // --- // 100 // 4 // 4 // 0 /// XM_006726321 // --- // 100 // 4 // 4 // 0 /// XM_011543805 // --- // 100 // 4 // 4 // 0 /// XM_011543806 // --- // 100 // 4 // 4 // 0 /// XM_011543807 // --- // 100 // 4 // 4 // 0 /// XM_011543808 // --- // 100 // 4 // 4 // 0 /// XM_011543809 // --- // 100 // 4 // 4 // 0 /// ENST00000624431 // --- // 100 // 4 // 4 // 0 /// ENST00000450305 // --- // 100 // 4 // 4 // 0 /// ENST00000456328 // --- // 100 // 4 // 4 // 0 /// GENSCAN00000010471 // --- // 100 // 4 // 4 // 0 /// GENSCAN00000017672 // --- // 100 // 4 // 4 // 0 /// NONHSAT000001 // --- // 100 // 4 // 4 // 0 /// NONHSAT000002 // --- // 100 // 4 // 4 // 0 /// NONHSAT000003 // --- // 100 // 4 // 4 // 0 /// NONHSAT000004 // --- // 100 // 4 // 4 // 0 /// NR_024004 // --- // 100 // 4 // 4 // 1 /// NR_024005 // --- // 100 // 4 // 4 // 1 /// NR_034090 // --- // 100 // 4 // 4 // 1 /// NR_045117 // --- // 100 // 4 // 4 // 1 /// NR_051985 // --- // 100 // 4 // 4 // 1 /// NR_051986 // --- // 100 // 4 // 4 // 1 /// NR_110561 // --- // 100 // 4 // 4 // 1 /// AK093685 // --- // 100 // 4 // 4 // 1 /// OTTHUMT00000058841 // --- // 100 // 4 // 4 // 1 /// OTTHUMT00000109036 // --- // 100 // 4 // 4 // 1 /// OTTHUMT00000417614 // --- // 100 // 4 // 4 // 1 /// OTTHUMT00000417615 // --- // 100 // 4 // 4 // 1 /// OTTHUMT00000420565 // --- // 100 // 4 // 4 // 1 /// uc002cds.2 // --- // 100 // 4 // 4 // 1 /// uc010bqm.2 // --- // 100 // 4 // 4 // 1 /// uc010sdi.1 // --- // 100 // 4 // 4 // 1 /// uc010sdj.1 // --- // 100 // 4 // 4 // 1 /// uc010utv.1 // --- // 100 // 4 // 4 // 1 /// uc010utw.1 // --- // 100 // 4 // 4 // 1 /// uc011llp.1 // --- // 100 // 4 // 4 // 1 /// ENST00000437401 // --- // 100 // 4 // 4 // 1 /// ENST00000507418 // --- // 100 // 4 // 4 // 1 /// ENST00000513886 // --- // 100 // 4 // 4 // 1 /// ENST00000559159 // --- // 100 // 4 // 4 // 1 /// ENST00000562189 // --- // 100 // 4 // 4 // 1 /// AK125998 // --- // 100 // 4 // 4 // 1 /// NONHSAT051714 // --- // 100 // 4 // 4 // 1 /// NONHSAT051715 // --- // 100 // 4 // 4 // 1 /// NONHSAT051716 // --- // 100 // 4 // 4 // 1 /// NONHSAT051719 // --- // 100 // 4 // 4 // 1 /// NONHSAT051720 // --- // 100 // 4 // 4 // 1 /// NONHSAT051721 // --- // 100 // 4 // 4 // 1 /// NONHSAT073809 // --- // 100 // 4 // 4 // 1 /// NONHSAT073810 // --- // 100 // 4 // 4 // 1 /// NONHSAT073811 // --- // 100 // 4 // 4 // 1 /// NONHSAT073812 // --- // 100 // 4 // 4 // 1 /// NONHSAT073813 // --- // 100 // 4 // 4 // 1 /// NONHSAT129876 // --- // 100 // 4 // 4 // 1 /// NONHSAT129877 // --- // 100 // 4 // 4 // 1 /// NONHSAT139258 // --- // 100 // 4 // 4 // 1 /// NONHSAT139259 // --- // 100 // 4 // 4 // 1 /// TCONS_l2_00010384-XLOC_l2_005087 // --- // 100 // 4 // 4 // 1 /// TCONS_l2_00010385-XLOC_l2_005087 // --- // 100 // 4 // 4 // 1 /// TCONS_l2_00028588-XLOC_l2_014685 // --- // 100 // 4 // 4 // 1 /// TCONS_l2_00030643-XLOC_l2_015857 // --- // 100 // 4 // 4 // 1 /// TCONS_l2_00030644-XLOC_l2_015857 // --- // 100 // 4 // 4 // 1 /// uc010yxx.1 // --- // 100 // 4 // 4 // 1 /// uc011nad.1 // --- // 100 // 4 // 4 // 1 /// uc011ncc.1 // --- // 100 // 4 // 4 // 1","2","1","4","1","extended","0","0","0","0","1","2","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","main"
"2315104","chr1","+","13366","13888","4","2315100","4","4","NR_046018 // DDX11L1 /// BC070227 // DDX11L1 /// OTTHUMT00000362751 // DDX11L1 /// uc001aaa.3 // DDX11L1 /// uc010nxq.1 // DDX11L1 /// uc010nxr.1 // DDX11L1","NR_046018 // --- // 100 // 4 // 4 // 0 /// BC070227 // --- // 100 // 3 // 3 // 0 /// OTTHUMT00000362751 // --- // 100 // 4 // 4 // 0 /// uc001aaa.3 // --- // 100 // 4 // 4 // 0 /// uc010nxq.1 // --- // 100 // 3 // 3 // 0 /// uc010nxr.1 // --- // 100 // 4 // 4 // 0 /// XM_006726321 // --- // 100 // 1 // 1 // 0 /// XM_011543805 // --- // 100 // 1 // 1 // 0 /// XM_011543806 // --- // 100 // 1 // 1 // 0 /// XM_011543807 // --- // 100 // 1 // 1 // 0 /// XM_011543808 // --- // 100 // 1 // 1 // 0 /// XM_011543809 // --- // 100 // 1 // 1 // 0 /// ENST00000456328 // --- // 100 // 4 // 4 // 0 /// NONHSAT000001 // --- // 100 // 4 // 4 // 0 /// NONHSAT000002 // --- // 100 // 4 // 4 // 0 /// NONHSAT000003 // --- // 100 // 3 // 3 // 0 /// NONHSAT051717 // --- // 100 // 1 // 1 // 0 /// NR_024004 // --- // 100 // 4 // 4 // 1 /// NR_024005 // --- // 100 // 4 // 4 // 1 /// NR_034090 // --- // 100 // 4 // 4 // 1 /// NR_045117 // --- // 100 // 4 // 4 // 1 /// NR_051985 // --- // 75 // 3 // 4 // 1 /// NR_051986 // --- // 100 // 4 // 4 // 1 /// NR_110561 // --- // 100 // 4 // 4 // 1 /// AK093685 // --- // 100 // 4 // 4 // 1 /// OTTHUMT00000058841 // --- // 75 // 3 // 4 // 1 /// OTTHUMT00000109036 // --- // 100 // 4 // 4 // 1 /// OTTHUMT00000417614 // --- // 75 // 3 // 4 // 1 /// OTTHUMT00000417615 // --- // 100 // 4 // 4 // 1 /// OTTHUMT00000420565 // --- // 100 // 4 // 4 // 1 /// uc002cds.2 // --- // 100 // 4 // 4 // 1 /// uc010bqm.2 // --- // 100 // 4 // 4 // 1 /// uc010sdi.1 // --- // 75 // 3 // 4 // 1 /// uc010sdj.1 // --- // 100 // 4 // 4 // 1 /// uc010utv.1 // --- // 75 // 3 // 4 // 1 /// uc010utw.1 // --- // 100 // 4 // 4 // 1 /// uc011llp.1 // --- // 100 // 4 // 4 // 1 /// ENST00000437401 // --- // 100 // 4 // 4 // 1 /// ENST00000507418 // --- // 75 // 3 // 4 // 1 /// ENST00000513886 // --- // 100 // 4 // 4 // 1 /// ENST00000559159 // --- // 75 // 3 // 4 // 1 /// ENST00000562189 // --- // 100 // 4 // 4 // 1 /// AK125998 // --- // 100 // 4 // 4 // 1 /// NONHSAT051714 // --- // 100 // 4 // 4 // 1 /// NONHSAT051715 // --- // 75 // 3 // 4 // 1 /// NONHSAT051716 // --- // 100 // 4 // 4 // 1 /// NONHSAT051719 // --- // 100 // 4 // 4 // 1 /// NONHSAT051720 // --- // 100 // 4 // 4 // 1 /// NONHSAT051721 // --- // 75 // 3 // 4 // 1 /// NONHSAT073809 // --- // 100 // 4 // 4 // 1 /// NONHSAT073810 // --- // 100 // 4 // 4 // 1 /// NONHSAT073811 // --- // 100 // 4 // 4 // 1 /// NONHSAT073812 // --- // 100 // 4 // 4 // 1 /// NONHSAT073813 // --- // 100 // 4 // 4 // 1 /// NONHSAT129876 // --- // 100 // 4 // 4 // 1 /// NONHSAT129877 // --- // 75 // 3 // 4 // 1 /// NONHSAT139258 // --- // 100 // 4 // 4 // 1 /// NONHSAT139259 // --- // 75 // 3 // 4 // 1 /// TCONS_l2_00010384-XLOC_l2_005087 // --- // 75 // 3 // 4 // 1 /// TCONS_l2_00010385-XLOC_l2_005087 // --- // 100 // 4 // 4 // 1 /// TCONS_l2_00030643-XLOC_l2_015857 // --- // 75 // 3 // 4 // 1 /// TCONS_l2_00030644-XLOC_l2_015857 // --- // 100 // 4 // 4 // 1 /// uc010yxx.1 // --- // 100 // 4 // 4 // 1 /// uc011nad.1 // --- // 100 // 4 // 4 // 1 /// uc011ncc.1 // --- // 100 // 4 // 4 // 1","2","4","4","3","extended","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","main"
"2315105","chr1","+","14150","14368","4","2315100","4","5","NR_046018 // DDX11L1 /// OTTHUMT00000362751 // DDX11L1 /// uc001aaa.3 // DDX11L1 /// uc010nxq.1 // DDX11L1 /// uc010nxr.1 // DDX11L1 /// BC070227 // DDX11L1","NR_046018 // --- // 100 // 4 // 4 // 0 /// OTTHUMT00000362751 // --- // 100 // 4 // 4 // 0 /// uc001aaa.3 // --- // 100 // 4 // 4 // 0 /// uc010nxq.1 // --- // 100 // 4 // 4 // 0 /// uc010nxr.1 // --- // 100 // 4 // 4 // 0 /// BC070227 // --- // 50 // 2 // 4 // 0 /// ENST00000456328 // --- // 100 // 4 // 4 // 0 /// NONHSAT000001 // --- // 100 // 4 // 4 // 0 /// NONHSAT000002 // --- // 100 // 4 // 4 // 0 /// NONHSAT000003 // --- // 100 // 4 // 4 // 0 /// NR_024004 // --- // 100 // 4 // 4 // 1 /// NR_024005 // --- // 100 // 4 // 4 // 1 /// NR_034090 // --- // 100 // 4 // 4 // 1 /// NR_045117 // --- // 100 // 4 // 4 // 1 /// NR_051985 // --- // 100 // 4 // 4 // 1 /// NR_051986 // --- // 100 // 4 // 4 // 1 /// NR_110561 // --- // 100 // 4 // 4 // 1 /// AK093685 // --- // 100 // 4 // 4 // 1 /// OTTHUMT00000058841 // --- // 100 // 4 // 4 // 1 /// OTTHUMT00000109036 // --- // 100 // 4 // 4 // 1 /// OTTHUMT00000417614 // --- // 100 // 4 // 4 // 1 /// OTTHUMT00000417615 // --- // 100 // 4 // 4 // 1 /// OTTHUMT00000420565 // --- // 100 // 4 // 4 // 1 /// uc002cds.2 // --- // 100 // 4 // 4 // 1 /// uc010bqm.2 // --- // 100 // 4 // 4 // 1 /// uc010utv.1 // --- // 100 // 4 // 4 // 1 /// uc010utw.1 // --- // 100 // 4 // 4 // 1 /// uc011llp.1 // --- // 100 // 4 // 4 // 1 /// ENST00000437401 // --- // 100 // 4 // 4 // 1 /// ENST00000507418 // --- // 100 // 4 // 4 // 1 /// ENST00000513886 // --- // 100 // 4 // 4 // 1 /// ENST00000559159 // --- // 100 // 4 // 4 // 1 /// ENST00000562189 // --- // 100 // 4 // 4 // 1 /// AK125998 // --- // 100 // 4 // 4 // 1 /// NONHSAT051714 // --- // 100 // 4 // 4 // 1 /// NONHSAT051715 // --- // 100 // 4 // 4 // 1 /// NONHSAT051716 // --- // 100 // 4 // 4 // 1 /// NONHSAT051719 // --- // 100 // 4 // 4 // 1 /// NONHSAT051720 // --- // 100 // 4 // 4 // 1 /// NONHSAT051721 // --- // 75 // 3 // 4 // 1 /// NONHSAT073809 // --- // 100 // 4 // 4 // 1 /// NONHSAT073810 // --- // 100 // 4 // 4 // 1 /// NONHSAT073811 // --- // 100 // 4 // 4 // 1 /// NONHSAT073812 // --- // 100 // 4 // 4 // 1 /// NONHSAT073813 // --- // 100 // 4 // 4 // 1 /// NONHSAT129876 // --- // 100 // 4 // 4 // 1 /// NONHSAT129877 // --- // 100 // 4 // 4 // 1 /// NONHSAT139258 // --- // 100 // 4 // 4 // 1 /// NONHSAT139259 // --- // 100 // 4 // 4 // 1 /// TCONS_l2_00010384-XLOC_l2_005087 // --- // 75 // 3 // 4 // 1 /// TCONS_l2_00010385-XLOC_l2_005087 // --- // 100 // 4 // 4 // 1 /// uc010yxx.1 // --- // 100 // 4 // 4 // 1 /// uc011nad.1 // --- // 100 // 4 // 4 // 1 /// uc011ncc.1 // --- // 100 // 4 // 4 // 1","2","2","4","2","extended","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","main"
"2315114","chr1","+","27566","27779","4","2315113","9","10","---","XR_433199 // --- // 100 // 4 // 4 // 1 /// ENST00000422679 // --- // 100 // 4 // 4 // 1 /// DQ786265 // --- // 100 // 4 // 4 // 1 /// NONHSAT129881 // --- // 100 // 4 // 4 // 1","2","4","4","4","extended","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","main"
"2315116","chr1","+","28439","28661","4","2315115","10","11","---","XR_433199 // --- // 100 // 4 // 4 // 1 /// ENST00000422679 // --- // 100 // 4 // 4 // 1 /// NONHSAT129881 // --- // 100 // 4 // 4 // 1","2","4","4","3","extended","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","main"
"2315118","chr1","+","30623","30666","4","2315117","11","12","XR_936215 // LOC105376912 /// ENST00000469289 // LOC105376912 /// ENST00000473358 // LOC105376912","XR_936215 // --- // 100 // 4 // 4 // 0 /// ENST00000469289 // --- // 100 // 4 // 4 // 0 /// ENST00000473358 // --- // 100 // 4 // 4 // 0 /// ENST00000633603 // --- // 100 // 4 // 4 // 0 /// NONHSAT000011 // --- // 100 // 4 // 4 // 0 /// NONHSAT000012 // --- // 100 // 4 // 4 // 0 /// NONHSAT060099 // --- // 100 // 4 // 4 // 0 /// NONHSAT060100 // --- // 100 // 4 // 4 // 0 /// XR_433199 // --- // 100 // 4 // 4 // 1 /// XR_916796 // --- // 100 // 4 // 4 // 1 /// ENST00000422679 // --- // 100 // 4 // 4 // 1 /// ENST00000559045 // --- // 100 // 4 // 4 // 1 /// ENST00000561145 // --- // 100 // 4 // 4 // 1 /// NONHSAT051707 // --- // 100 // 4 // 4 // 1 /// NONHSAT051708 // --- // 100 // 4 // 4 // 1 /// NONHSAT129881 // --- // 100 // 4 // 4 // 1","3","2","4","1","full","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","main"
"2315120","chr1","+","35703","35793","4","2315119","12","13","---","GENSCAN00000010477 // --- // 100 // 4 // 4 // 1 /// GENSCAN00000011483 // --- // 100 // 4 // 4 // 1 /// GENSCAN00000015674 // --- // 100 // 4 // 4 // 1 /// GENSCAN00000049601 // --- // 100 // 4 // 4 // 1","2","4","4","3","full","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","main"
"2315122","chr1","+","35943","35968","2","2315121","13","14","---","GENSCAN00000011483 // --- // 100 // 2 // 2 // 1 /// GENSCAN00000015674 // --- // 100 // 2 // 2 // 1 /// GENSCAN00000049601 // --- // 100 // 2 // 2 // 1","2","1","2","1","full","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","main"
"2315126","chr1","+","51955","51993","4","2315125","15","16","XR_948874 // LOC105379212","XR_948874 // --- // 100 // 4 // 4 // 0 /// GENSCAN00000017677 // --- // 100 // 4 // 4 // 0","2","2","4","1","full","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","main"
